STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지표
A_2024_00680,QY,201103,,,500002,서울,100001,임대료,20.2,천원/㎡,,서울,임대료,2011년 3분기,임대료
A_2024_00682,QY,201103,,,500002,서울,100001,투자수익률,1.59,%,,서울,투자수익률,2011년 3분기,투자수익률
A_2024_00678,QY,201103,,,510003,도심지역,100001,공실률,6.7,%,,서울>도심지역,공실률,2011년 3분기,공실률
A_2024_00680,QY,201103,,,510003,도심지역,100001,임대료,24.0,천원/㎡,,서울>도심지역,임대료,2011년 3분기,임대료
A_2024_00682,QY,201103,,,510003,도심지역,100001,투자수익률,1.53,%,,서울>도심지역,투자수익률,2011년 3분기,투자수익률
A_2024_00678,QY,201103,,,510004,여의도마포지역,100001,공실률,5.3,%,,서울>여의도마포지역,공실률,2011년 3분기,공실률
A_2024_00680,QY,201103,,,510004,여의도마포지역,100001,임대료,16.1,천원/㎡,,서울>여의도마포지역,임대료,2011년 3분기,임대료
A_2024_00682,QY,201103,,,510004,여의도마포지역,100001,투자수익률,1.99,%,,서울>여의도마포지역,투자수익률,2011년 3분기,투자수익률
A_2024_00678,QY,201103,,,510005,강남지역,100001,공실률,4.4,%,,서울>강남지역,공실률,2011년 3분기,공실률
A_2024_00680,QY,201103,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2011년 3분기,임대료
A_2024_00682,QY,201103,,,510005,강남지역,100001,투자수익률,1.44,%,,서울>강남지역,투자수익률,2011년 3분기,투자수익률
A_2024_00678,QY,201103,,,510006,기타지역,100001,공실률,5.1,%,,서울>기타지역,공실률,2011년 3분기,공실률
A_2024_00680,QY,201103,,,510006,기타지역,100001,임대료,15.1,천원/㎡,,서울>기타지역,임대료,2011년 3분기,임대료
A_2024_00682,QY,201103,,,510006,기타지역,100001,투자수익률,1.65,%,,서울>기타지역,투자수익률,2011년 3분기,투자수익률
A_2024_00678,QY,201104,,,500002,서울,100001,공실률,5.1,%,,서울,공실률,2011년 4분기,공실률
A_2024_00680,QY,201104,,,500002,서울,100001,임대료,20.3,천원/㎡,,서울,임대료,2011년 4분기,임대료
A_2024_00682,QY,201104,,,500002,서울,100001,투자수익률,1.74,%,,서울,투자수익률,2011년 4분기,투자수익률
A_2024_00678,QY,201104,,,510003,도심지역,100001,공실률,6.4,%,,서울>도심지역,공실률,2011년 4분기,공실률
A_2024_00680,QY,201104,,,510003,도심지역,100001,임대료,24.3,천원/㎡,,서울>도심지역,임대료,2011년 4분기,임대료
A_2024_00682,QY,201104,,,510003,도심지역,100001,투자수익률,1.8,%,,서울>도심지역,투자수익률,2011년 4분기,투자수익률
A_2024_00678,QY,201104,,,510004,여의도마포지역,100001,공실률,4.5,%,,서울>여의도마포지역,공실률,2011년 4분기,공실률
A_2024_00680,QY,201104,,,510004,여의도마포지역,100001,임대료,16.2,천원/㎡,,서울>여의도마포지역,임대료,2011년 4분기,임대료
A_2024_00682,QY,201104,,,510004,여의도마포지역,100001,투자수익률,2.01,%,,서울>여의도마포지역,투자수익률,2011년 4분기,투자수익률
A_2024_00678,QY,201104,,,510005,강남지역,100001,공실률,4.3,%,,서울>강남지역,공실률,2011년 4분기,공실률
A_2024_00680,QY,201104,,,510005,강남지역,100001,임대료,20.7,천원/㎡,,서울>강남지역,임대료,2011년 4분기,임대료
A_2024_00682,QY,201104,,,510005,강남지역,100001,투자수익률,1.59,%,,서울>강남지역,투자수익률,2011년 4분기,투자수익률
A_2024_00678,QY,201104,,,510006,기타지역,100001,공실률,5.1,%,,서울>기타지역,공실률,2011년 4분기,공실률
A_2024_00680,QY,201104,,,510006,기타지역,100001,임대료,15.2,천원/㎡,,서울>기타지역,임대료,2011년 4분기,임대료
A_2024_00682,QY,201104,,,510006,기타지역,100001,투자수익률,1.68,%,,서울>기타지역,투자수익률,2011년 4분기,투자수익률
A_2024_00678,QY,201201,,,500002,서울,100001,공실률,5.1,%,,서울,공실률,2012년 1분기,공실률
A_2024_00680,QY,201201,,,500002,서울,100001,임대료,20.5,천원/㎡,,서울,임대료,2012년 1분기,임대료
A_2024_00682,QY,201201,,,500002,서울,100001,투자수익률,1.89,%,,서울,투자수익률,2012년 1분기,투자수익률
A_2024_00678,QY,201201,,,510003,도심지역,100001,공실률,6.3,%,,서울>도심지역,공실률,2012년 1분기,공실률
A_2024_00680,QY,201201,,,510003,도심지역,100001,임대료,24.3,천원/㎡,,서울>도심지역,임대료,2012년 1분기,임대료
A_2024_00682,QY,201201,,,510003,도심지역,100001,투자수익률,1.89,%,,서울>도심지역,투자수익률,2012년 1분기,투자수익률
A_2024_00678,QY,201201,,,510004,여의도마포지역,100001,공실률,4.6,%,,서울>여의도마포지역,공실률,2012년 1분기,공실률
A_2024_00680,QY,201201,,,510004,여의도마포지역,100001,임대료,16.5,천원/㎡,,서울>여의도마포지역,임대료,2012년 1분기,임대료
A_2024_00682,QY,201201,,,510004,여의도마포지역,100001,투자수익률,2.15,%,,서울>여의도마포지역,투자수익률,2012년 1분기,투자수익률
A_2024_00678,QY,201201,,,510005,강남지역,100001,공실률,4.5,%,,서울>강남지역,공실률,2012년 1분기,공실률
A_2024_00680,QY,201201,,,510005,강남지역,100001,임대료,21.1,천원/㎡,,서울>강남지역,임대료,2012년 1분기,임대료
A_2024_00682,QY,201201,,,510005,강남지역,100001,투자수익률,1.72,%,,서울>강남지역,투자수익률,2012년 1분기,투자수익률
A_2024_00678,QY,201201,,,510006,기타지역,100001,공실률,4.8,%,,서울>기타지역,공실률,2012년 1분기,공실률
A_2024_00680,QY,201201,,,510006,기타지역,100001,임대료,15.2,천원/㎡,,서울>기타지역,임대료,2012년 1분기,임대료
A_2024_00682,QY,201201,,,510006,기타지역,100001,투자수익률,2.06,%,,서울>기타지역,투자수익률,2012년 1분기,투자수익률
A_2024_00678,QY,201202,,,500002,서울,100001,공실률,6.1,%,,서울,공실률,2012년 2분기,공실률
A_2024_00680,QY,201202,,,500002,서울,100001,임대료,20.6,천원/㎡,,서울,임대료,2012년 2분기,임대료
A_2024_00682,QY,201202,,,500002,서울,100001,투자수익률,2.04,%,,서울,투자수익률,2012년 2분기,투자수익률
A_2024_00678,QY,201202,,,510003,도심지역,100001,공실률,6.7,%,,서울>도심지역,공실률,2012년 2분기,공실률
A_2024_00680,QY,201202,,,510003,도심지역,100001,임대료,24.3,천원/㎡,,서울>도심지역,임대료,2012년 2분기,임대료
A_2024_00682,QY,201202,,,510003,도심지역,100001,투자수익률,2.26,%,,서울>도심지역,투자수익률,2012년 2분기,투자수익률
